Message,Category
"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",ham
Unusual activity detected in your account. Verify immediately.,Fraud
Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,ham
I just really need shit before tomorrow and I know you won't be awake before like 6,ham
Tell rob to mack his gf in the theater,ham
"Cool, what time you think you can get here?",ham
In e msg jus now. U said thanks for gift.,ham
"Nah can't help you there, I've never had an iphone",ham
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham
Your OTP is 604851 and is valid for 10 minutes.,OTP
"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\""""",ham
His frens go then he in lor. Not alone wif my mum n sis lor.,ham
I doubt you could handle 5 times per night in any case...,ham
I have lost 10 kilos as of today!,ham
Does daddy have a bb now.,ham
Unusual activity detected in your account. Verify immediately.,Fraud
How much i gave to you. Morning.,ham
This is a suspicious login attempt. Was this you?,Fraud
"Alright omw, gotta change my order to a half8th",ham
"Aight yo, dats straight dogg",ham
Just sleeping..and surfing,ham
Unusual activity detected in your account. Verify immediately.,Fraud
I'll probably be around mu a lot,ham
Ok. There may be a free gym about.,ham
Didn't you get hep b immunisation in nigeria.,ham
"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",ham
Please ask mummy to call father,ham
Well its not like you actually called someone a punto. That woulda been worse.,ham
Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.,ham
"I wonder if your phone battery went dead ? I had to tell you, I love you babe",ham
Waaaat?? Lololo ok next time then!,ham
Yeah imma come over cause jay wants to do some drugs,ham
Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,ham
Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,ham
Dear how is chechi. Did you talk to her,ham
Oh:)as usual vijay film or its different?,ham
Hey you told your name to gautham ah?,ham
Yup. Thk of u oso boring wat.,ham
Your OTP is 441077 and is valid for 10 minutes.,OTP
Sary just need Tim in the bollox &it hurt him a lot so he tol me!,ham
I accidentally brought em home in the box,ham
Wat time u finish ur lect today?,ham
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,ham
Not able to do anything.,ham
Oh dang! I didn't mean o send that to you! Lol!,ham
Gudnite....tc...practice going on,ham
Your order #2209 has been dispatched.,Logistic
The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,ham
Just glad to be talking to you.,ham
I'm in inside office..still filling forms.don know when they leave me.,ham
U studying in sch or going home? Anyway i'll b going 2 sch later.,ham
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",spam
Enter OTP 448618 to proceed with your transaction.,OTP
Thanx but my birthday is over already.,ham
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,ham
Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,spam
Also hi wesley how've you been,ham
I pocked you up there before,ham
"Your account password has been reset. If not you, contact support.",Fraud
They will pick up and drop in car.so no problem..,ham
"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",ham
"Haha... Sounds crazy, dunno can tahan anot...",ham
"Alright we're hooked up, where you guys at",ham
This is a suspicious login attempt. Was this you?,Fraud
This is a suspicious login attempt. Was this you?,Fraud
Apo all other are mokka players only,ham
"Cool, I'll text you when I'm on the way",ham
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam
This is a suspicious login attempt. Was this you?,Fraud
"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",spam
when you and derek done with class?,ham
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,spam
"Call me. I m unable to cal. Lets meet bhaskar, and deep",ham
I am in hospital da. . I will return home in evening,ham
Ok then no need to tell me anything i am going to sleep good night,ham
It means u could not keep ur words.,ham
Your OTP is 148180. Do not share it with anyone.,OTP
Take us out shopping and Mark will distract Isaiah.=D,ham
Where is that one day training:-),ham
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham
"Haha, my friend tyler literally just asked if you could get him a dubsack",ham
Ok which your another number,ham
Track your shipment here: [tracking_link].,Logistic
my ex-wife was not able to have kids. Do you want kids one day?,ham
I love to cuddle! I want to hold you in my strong arms right now...,ham
Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,ham
I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,ham
Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,ham
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,ham
"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",ham
"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",ham
I went to project centre,ham
Track your shipment here: [tracking_link].,Logistic
Onum ela pa. Normal than.,ham
K. Did you call me just now ah? ,ham
Enter OTP 193058 to proceed with your transaction.,OTP
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham
By monday next week. Give me the full gist,ham
Your order #5233 has been dispatched.,Logistic
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,ham
She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance,ham
Your OTP is 223437 and is valid for 10 minutes.,OTP
Your OTP is 327457. Do not share it with anyone.,OTP
"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",ham
oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,ham
Unusual activity detected in your account. Verify immediately.,Fraud
I fetch yun or u fetch?,ham
Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,ham
"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",ham
"Your account password has been reset. If not you, contact support.",Fraud
"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\""""",ham
"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",spam
I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,ham
Unusual activity detected in your account. Verify immediately.,Fraud
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,spam
Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),spam
Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,ham
Why don't you wait 'til at least wednesday to see if you get your .,ham
Hey what happen de. Are you alright.,ham
HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,ham
Your order #8453 has been dispatched.,Logistic
On the road so cant txt,ham
U should have made an appointment,ham
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham
Idea will soon get converted to live:),ham
For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,ham
You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,ham
Your order #6579 has been dispatched.,Logistic
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
Your OTP is 386201. Do not share it with anyone.,OTP
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",ham
I'll talk to the others and probably just come early tomorrow then,ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,spam
Have you heard from this week?,ham
"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",ham
CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,ham
This is a suspicious login attempt. Was this you?,Fraud
URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,spam
Enter OTP 150887 to proceed with your transaction.,OTP
I'm in chennai velachery:),ham
He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,ham
"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",ham
I cant pick the phone right now. Pls send a message,ham
Ok i am on the way to home hi hi,ham
I forgot 2 ask Ì_ all smth.. There's a card on da present lei... How? ÌÏ all want 2 write smth or sign on it?,ham
Moji i love you more than words. Have a rich day,ham
I want to see your pretty pussy...,ham
What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,ham
ÌÏ got wat to buy tell us then Ì_ no need to come in again.,ham
"Aight, we'll head out in a few",ham
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam
Well i know Z will take care of me. So no worries.,ham
"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*",ham
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham
K.k.this month kotees birthday know?,ham
(You didn't hear it from me),ham
"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",spam
"Your account password has been reset. If not you, contact support.",Fraud
I will reach ur home in  &lt;#&gt;  minutes,ham
Your package is out for delivery and will arrive by 6 PM.,Logistic
No need to say anything to me. I know i am an outsider,ham
"Geeeee ... Your internet is really bad today, eh ?",ham
Why de. You looking good only:-)..,ham
I cant pick the phone right now. Pls send a message,ham
Long time. You remember me today.,ham
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",ham
yes baby! I need to stretch open your pussy!,ham
I sent your maga that money yesterday oh.,ham
Now? I'm going out 4 dinner soon..,ham
It certainly puts things into perspective when something like this happens,ham
Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham
Uhhhhrmm isnt having tb test bad when youre sick,ham
Your OTP is 978578. Do not share it with anyone.,OTP
hanks lotsly!,ham
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",ham
O was not into fps then.,ham
"Your account password has been reset. If not you, contact support.",Fraud
aathi..where are you dear..,ham
Ill be there on  &lt;#&gt;  ok.,ham
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",ham
Orh i tot u say she now still dun believe.,ham
"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.",ham
What's the significance?,ham
Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,ham
V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),ham
"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",spam
In which place i can get rooms cheap:-),ham
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham
I'm at home n ready...,ham
Going to take your babe out ?,ham
G.W.R,ham
Kothi print out marandratha.,ham
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,ham
"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",ham
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,spam
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam
Why do you ask princess?,ham
No dear i do have free messages without any recharge. Hi hi hi,ham
Goin to workout lor... Muz lose e fats... ,ham
Where are you?when wil you reach here?,ham
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
"That's cool, I'll come by like  &lt;#&gt; ish",ham
Please CALL 08712402972 immediately as there is an urgent message waiting for you,spam
Hello madam how are you ?,ham
We have all rounder:)so not required:),ham
Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,ham
Thanks love. But am i doing torch or bold.,ham
We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,ham
Enter OTP 770351 to proceed with your transaction.,OTP
"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",spam
Should i send you naughty pix? :),ham
Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,ham
"Nah, Wednesday. When should I bring the mini cheetos bag over?",ham
Tell me whos this pls:-),ham
Where to get those?,ham
"Sorry battery died, yeah I'm here",ham
Your order #7775 has been dispatched.,Logistic
You have 1 new message. Call 0207-083-6089,spam
Where is it. Is there any opening for mca.,ham
No no. I will check all rooms befor activities,ham
Your package is out for delivery and will arrive by 6 PM.,Logistic
Hi :)finally i completed the course:),ham
"Your account password has been reset. If not you, contact support.",Fraud
Your package is out for delivery and will arrive by 6 PM.,Logistic
Huh? 6 also cannot? Then only how many mistakes?,ham
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham
"Haha awesome, I've been to 4u a couple times. Who all's coming?",ham
"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",spam
Company is very good.environment is terrific and food is really nice:),ham
Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,ham
Yes when is the appt again?,ham
How are you. Just checking up on you,ham
I love ya too but try and budget your money better babe. Gary would freak on me if he knew,ham
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",ham
Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,ham
Your package is out for delivery and will arrive by 6 PM.,Logistic
I am late. I will be there at,ham
Are you the cutest girl in the world or what,ham
If i said anything wrong sorry de:-),ham
Track your shipment here: [tracking_link].,Logistic
Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,ham
"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",ham
"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",ham
Is that seriously how you spell his name?,ham
Should I be stalking u?,ham
JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,ham
Super da:)good replacement for murali,ham
I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...,ham
You can donate å£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. å£2.50 will be added to your next bill,spam
How did you find out in a way that didn't include all of these details,ham
"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",spam
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham
"How about clothes, jewelry, and trips?",ham
I am on the way to ur home,ham
Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,ham
Am not interested to do like that.,ham
(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam
Stupid.its not possible,ham
I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,ham
Track your shipment here: [tracking_link].,Logistic
"ThatÛ÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",ham
"No, I was trying it all weekend ;V",ham
Well done and ! luv ya all ,ham
Also remember the beads don't come off. Ever.,ham
At home also.,ham
Oh just getting even with u.... u?,ham
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,ham
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",ham
Your order #4021 has been dispatched.,Logistic
"I'm back, lemme know when you're ready",ham
You getting back any time soon?,ham
Then Ì_ ask dad to pick Ì_ up lar... ÌÏ wan 2 stay until 6 meh...,ham
So wats ur opinion abt him and how abt is character?,ham
Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,ham
How much are we getting?,ham
Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),ham
Yeah my usual guy's out of town but there're definitely people around I know,ham
"I'm in solihull, | do you want anything?",ham
I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,ham
"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\""""",ham
"That's cool he'll be here all night, lemme know when you're around",ham
Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,ham
I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham
Enter OTP 818737 to proceed with your transaction.,OTP
Your OTP is 155381 and is valid for 10 minutes.,OTP
Pls call me da. What happen.,ham
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",ham
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,spam
Your OTP is 129687 and is valid for 10 minutes.,OTP
"Cool, text me when you head out",ham
Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,ham
Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,ham
"Awesome, lemme know whenever you're around",ham
"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",ham
Your order #5987 has been dispatched.,Logistic
Your order #7530 has been dispatched.,Logistic
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),ham
Ambrith..madurai..met u in arun dha marrge..remembr?,ham
"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",ham
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham
watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,ham
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",spam
"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",ham
have you ever had one foot before?,ham
Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,spam
Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,ham
I have many dependents,ham
Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,ham
"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",spam
Be sure to check your yahoo email. We sent photos yesterday,ham
Don know. I did't msg him recently.,ham
How do you guys go to see movies on your side.,ham
"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",ham
"URGENT! Your mobile number *************** WON a å£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",spam
U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,ham
Oh k:)after that placement there ah?,ham
Good morning princess! Happy New Year!,ham
Once free call me sir.,ham
"Haha get used to driving to usf man, I know a lot of stoners",ham
How was txting and driving,ham
What r u cooking me for dinner?,ham
Wat time Ì_ finish?,ham
"Sure, whenever you show the fuck up &gt;:(",ham
Erm. I thought the contract ran out the4th of october.,ham
Hey i've booked the pilates and yoga lesson already... Haha,ham
Hurry home. Soup is DONE!,ham
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam
How abt making some of the pics bigger?,ham
Early bird! Any purchases yet?,ham
Thanks  and ! Or bomb and date as my phone wanted to say! ,ham
"Probably not, I'm almost out of gas and I get some cash tomorrow",ham
Dude ive been seeing a lotta corvettes lately,ham
Wat's my dear doing? Sleeping ah?,ham
You have an important customer service announcement from PREMIER.,spam
I can ask around but there's not a lot in terms of mids up here,ham
Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam
Wot u up 2? Thout u were gonna call me!! Txt bak luv K,ham
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham
"Sorry, I'll call later",ham
Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,spam
Raviyog Peripherals bhayandar east,ham
I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,spam
Your order #7354 has been dispatched.,Logistic
"Erm Û_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",ham
"If you want to mapquest it or something look up \usf dogwood drive\""",ham
Unusual activity detected in your account. Verify immediately.,Fraud
"Sorry,in meeting I'll call later",ham
Do have a nice day today. I love you so dearly.,ham
"K, I'll work something out",ham
I'm at home. Please call,ham
SMS. ac sun0819 posts HELLO:\You seem cool,spam
Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,ham
Wif my family booking tour package.,ham
Mine here like all fr china then so noisy.,ham
"Yeah I am, so I'll leave maybe 7ish?",ham
I think the other two still need to get cash but we can def be ready by 9,ham
This is a suspicious login attempt. Was this you?,Fraud
S.s:)i thinl role is like sachin.just standing. Others have to hit.,ham
U meet other fren dun wan meet me ah... Muz b a guy rite...,ham
How would my ip address test that considering my computer isn't a minecraft server,ham
O shore are you takin the bus,ham
"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)""",ham
Pls dont forget to study,ham
Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.,ham
"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",ham
"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",spam
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,ham
Your OTP is 722373 and is valid for 10 minutes.,OTP
Yeah I can still give you a ride,ham
Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,ham
CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,spam
I see the letter B on my car,ham
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham
You're right I have now that I think about it,ham
"Sorry, I'll call later in meeting.",ham
Oh oh... Wasted... Den muz chiong on sat n sun liao...,ham
U GOIN OUT 2NITE?,ham
Your order #2953 has been dispatched.,Logistic
"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",ham
ALRITE,ham
Ok i also wan 2 watch e 9 pm show...,ham
Enter OTP 571997 to proceed with your transaction.,OTP
Let me know when you've got the money so carlos can make the call,ham
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,ham
What happen to her tell the truth,ham
Wait.i will come out.. &lt;#&gt;  min:),ham
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham
Wait  &lt;#&gt;  min..,ham
Well welp is sort of a semiobscure internet thing,ham
With my sis lor... We juz watched italian job.,ham
"Well, i'm glad you didn't find it totally disagreeable ... Lol",ham
A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,ham
Anything lor. Juz both of us lor.,ham
This is a suspicious login attempt. Was this you?,Fraud
Your package is out for delivery and will arrive by 6 PM.,Logistic
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",ham
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham
Wife.how she knew the time of murder exactly,ham
Why i come in between you people,ham
Track your shipment here: [tracking_link].,Logistic
Text her. If she doesnt reply let me know so i can have her log in,ham
"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",ham
Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,ham
Aight ill get on fb in a couple minutes,ham
Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,ham
We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,spam
"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",ham
"Sorry, I'll call later",ham
"Sorry, I can't help you on this.",ham
